subject_name,subject_id_prefix,subject_id,subject_category,object_name,object_id,object_id_prefix,object_category,predicate,subject_aspect_qualifier,knowledge_source
FANCA,NCBIGene,2175,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCC,NCBIGene,2176,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
BRCA2,NCBIGene,675,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCD2,NCBIGene,2177,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCE,NCBIGene,2178,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCF,NCBIGene,2188,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCG,NCBIGene,2189,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCI,NCBIGene,55215,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
BRIP1,NCBIGene,83990,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCL,NCBIGene,55120,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
FANCM,NCBIGene,57697,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
PALB2,NCBIGene,79728,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
RAD51C,NCBIGene,5889,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
SLX4,NCBIGene,84464,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
ERCC4,NCBIGene,2072,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
BRCA1,NCBIGene,672,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
UBE2T,NCBIGene,29089,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
XRCC2,NCBIGene,7516,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
MAD2L2,NCBIGene,10459,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
RFWD3,NCBIGene,55159,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
RAD51,NCBIGene,5888,Gene,Fanconi anemia,MONDO:0019391,MONDO,Disease,gene_associated_with_condition,Genetic variants,PMID:35854323
