subject_name,subject_id,subject_category,subject_id_prefix,object_name,object_id,object_category,object_id_prefix,predicate,frequency_qualifier,subject_aspect_qualifier,has_count,supporting_study_cohort
TP53,7157,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.184782608695652,Mutation,17,TCGA
CTNNB1,1499,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.152173913043478,Mutation,14,TCGA
MEN1,4221,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0760869565217391,Mutation,7,TCGA
APOB,338,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0652173913043478,Mutation,6,TCGA
PRKAR1A,5573,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
KMT2B,9757,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
GNAS,2778,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
HUWE1,10075,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
NF1,4763,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
SPTA1,6708,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
KMT2C,58508,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
MACF1,23499,Gene,NCBIGene,TCGA-ACC,MONDO:0008734,Disease,MONDO,gene_associated_with_condition,0.0543478260869565,Mutation,5,TCGA
TP53,7157,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.48905109489051,Mutation,201,TCGA
KMT2D,8085,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.284671532846715,Mutation,117,TCGA
KDM6A,7403,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.257907542579075,Mutation,106,TCGA
ARID1A,8289,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.253041362530413,Mutation,104,TCGA
PIK3CA,5290,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.218978102189781,Mutation,90,TCGA
KMT2C,58508,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.194647201946472,Mutation,80,TCGA
RB1,5925,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.187347931873479,Mutation,77,TCGA
EP300,2033,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.153284671532846,Mutation,63,TCGA
MACF1,23499,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.143552311435523,Mutation,59,TCGA
STAG2,10735,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.138686131386861,Mutation,57,TCGA
FGFR3,2261,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.138686131386861,Mutation,57,TCGA
ATM,472,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.13625304136253,Mutation,56,TCGA
ELF3,1999,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.126520681265206,Mutation,52,TCGA
CREBBP,1387,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.124087591240875,Mutation,51,TCGA
ERBB2,2064,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.124087591240875,Mutation,51,TCGA
FAT1,2195,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.119221411192214,Mutation,49,TCGA
SPTAN1,6709,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.114355231143552,Mutation,47,TCGA
KMT2A,4297,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.111922141119221,Mutation,46,TCGA
ERBB3,2065,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.104622871046228,Mutation,43,TCGA
SPTA1,6708,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0997566909975669,Mutation,41,TCGA
BRCA2,675,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.097323600973236,Mutation,40,TCGA
CDKN1A,1026,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0948905109489051,Mutation,39,TCGA
ERCC2,2068,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0924574209245742,Mutation,38,TCGA
DMD,1756,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0924574209245742,Mutation,38,TCGA
ASXL2,55252,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0851581508515815,Mutation,35,TCGA
TSC1,7248,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0827250608272506,Mutation,34,TCGA
FBXW7,55294,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0802919708029197,Mutation,33,TCGA
ARID2,196528,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0778588807785888,Mutation,32,TCGA
ATR,545,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0778588807785888,Mutation,32,TCGA
NCOR1,9611,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0778588807785888,Mutation,32,TCGA
APOB,338,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0778588807785888,Mutation,32,TCGA
NF1,4763,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0754257907542579,Mutation,31,TCGA
ZFP36L1,677,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.072992700729927,Mutation,30,TCGA
MYH9,4627,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0705596107055961,Mutation,29,TCGA
CDK12,51755,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0705596107055961,Mutation,29,TCGA
POLQ,10721,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0681265206812652,Mutation,28,TCGA
PTPRD,5789,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0656934306569343,Mutation,27,TCGA
CDKN2A,1029,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0656934306569343,Mutation,27,TCGA
POLE,5426,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0632603406326034,Mutation,26,TCGA
NFE2L2,4780,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0632603406326034,Mutation,26,TCGA
SETD2,29072,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0632603406326034,Mutation,26,TCGA
CACNA1A,773,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0632603406326034,Mutation,26,TCGA
HUWE1,10075,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0608272506082725,Mutation,25,TCGA
KANSL1,284058,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0608272506082725,Mutation,25,TCGA
APC,324,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0608272506082725,Mutation,25,TCGA
MGA,23269,Gene,NCBIGene,TCGA-BLCA,MONDO:0004056,Disease,MONDO,gene_associated_with_condition,0.0608272506082725,Mutation,25,TCGA
